source_sentence ,target_sentence
Mateo.,Cjuandajyihi xi catsihindu San Mateo Tsëhë Jesucristu.
"El libro de las generaciones de Jesucristo, el hijo de David, el hijo de Abraham.","Xujun vihi ne, setaha xujun ñihi rë xutachanga rë Jesucristu, me xi tjë rë David, hacuaha tjë rë Abraham."
El hijo de Abraham fue Isaac  y el hijo de Isaac fue Jacob  y los hijos de Jacob fueron Judá y sus hermanos ,"Abraham ne, me vëhë xi xutachanga xi má nahmi rë Isaac. Isaac ne, me vëhë xi xutachanga xi má nahmi rë Jacob. Jacob ne, me vëhë xi xutachanga xi má nahmi rë Judá cojo hntsë cha."
Y los hijos de Judá y Tamar fueron Fares y Zara  y el hijo de Fares fue Esrom  y el hijo de Esrom fue Aram,"Judá ne, nahmi má me tsëhë Fares cojo Zara; naa rë me ne, Tamar hmí rë. Fares ne, me vëhë xi xutachanga xi má nahmi rë Esrom. Esrom ne, me vëhë xi xutachanga xi má nahmi rë Aram."
Y el hijo de Aram fue Aminadab  y el hijo de Aminadab fue Naasón  y el hijo de Naasón fue Salmón,"Aram ne, me vëhë xi xutachanga xi má nahmi rë Aminadab me xi xutachanga xi má nahmi rë Naasón, me vëhë xi xutachanga xi má nahmi rë Salmón."
Y el hijo de Salmón y Rahab fue Booz  y el hijo de Booz y Rut fue Obed  y el hijo de Obed fue Isai,"Salmón ne, nahmi rë Booz me; hane Rahab ne, naa rë me. Booz ne, nahmi má me tsëhë Obed. Naa rë me vë; má Rut. Obed ne, me vëhë xi xutachanga xi má nahmi rë Isaí."
Y el hijo de Isaí fue David el rey  y el hijo de David fué Salomón con la que había sido mujer de Urías,"Isaí ne, me vëhë xi xutachanga xi má nahmi rë David. David jan ne, me vëhë xi cavitexa nangui rë Israel. Hane David ne, me vëhë xi xutachanga xi má nahmi rë Salomón. Naa rë Salomón ne, titjun chjuun rë Urías camá me."
Y el hijo de Salomón fue Roboam  y el hijo de Roboam fue Abías  y el hijo de Abías fue Asa,"Salomón ne, me vëhë xi xutachanga xi má nahmi rë Roboam. Roboam ne, me vëhë xi xutachanga xi má nahmi rë Abías. Abías ne, me vëhë xi xutachanga xi má nahmi rë Asa."
Y el hijo de Asa fue Josafat  y el hijo de Josafat fue Joram  y el hijo de Joram fue Uzías,"Asa ne, me vëhë xi xutachanga xi má nahmi rë Josafat. Josafat ne, me vëhë xi xutachanga xi má nahmi rë Joram. Hane Joram ne, me vëhë xi xutachanga xi má nahmi rë Uzías."
Y el hijo de Uzías fue Jotam  y el hijo de Jotam fue Acaz  y el hijo de Acaz fue Ezequías,"Uzías ne, me vëhë xi xutachanga xi má nahmi rë Jotam. Jotam ne, me vëhë xi xutachanga xi má nahmi rë Acaz. Acaz ne, me vëhë xi xutachanga xi má nahmi rë Ezequías."
Y el hijo de Ezequías fue Manasés  y el hijo de Manasés fue Amón  y el hijo de Amón fue Josías,"Ezequías ne, me vëhë xi xutachanga xi má nahmi rë Manasés. Manasés ne, me vëhë xi xutachanga xi má nahmi rë Amón. Amón ne, me vëhë xi xutachanga xi má nahmi rë Josias."
